AP,language
3.129757116,-100
3.618822139,-100
4.327025658,-100
4.200331627,-100
4.341299577,-100
3.998805569,-100
3.904246731,-100
2.184870749,9.647082404
3.986267528,-100
2.016339774,10.62273462
2.479922328,-100
1.396268853,-100
0.547788709,-100
0.825530602,-100
2.96471576,-100
-1.017498764,-100
-0.253652262,-100
3.339382439,-100
1.186600102,-100
-0.265613493,-100
1.342495922,-100
-0.453666846,-100
1.121672366,-100
0.915807784,-100
-8.059295377,-100
-6.937449294,-3.160766469
-7.11110985,-100
-6.333734783,-100
-7.302541656,-100
-8.153653769,-100
-8.254104805,-100
-7.384126276,-100
-6.996344339,-1.811280412
-8.041174133,-100
-8.277867286,-100
-5.856042116,-2.354307917
-8.333967511,-100
-8.002540738,-100
-8.204181255,-100
-8.032839829,-100
-8.437002356,-100
-8.271450211,-100
-8.29073278,-100
1.382166019,-1.944050033
1.470840072,-1.26352681
-6.429353633,-100
-5.211937207,-100
-7.768587221,-100
2.5246434,-0.600073885
-3.742730057,-0.577817223
-5.72767786,-100
-5.23393565,-100
-5.872607843,-100
-5.567342492,-100
-5.72114953,-100
-6.082217375,-100
-6.110574216,-100
-5.621514643,-4.875022844
-6.689185954,-100
3.606351912,-100
1.98061282,-100
1.654236829,-100
2.461100779,-100
2.563060575,5.81267304
1.182340788,-100
0.727740286,-100
0.671500008,-100
-0.108678427,-100
-1.20698598,-100
-2.78662915,-100
0.175682027,-100
-1.541016504,-100
-4.644540921,-100
-6.31913195,-100
-3.250212385,-100
-5.633619545,-100
-5.365111196,-100
-6.410994749,-100
-1.971951622,-100
-5.179435683,-100
-6.958177616,-100
-0.131045551,-7.218958184
1.077627053,-100
-2.505848827,-4.890186408
-1.19668604,-5.993855628
-3.529721386,-1.98037724
3.115150184,-0.524505641
-1.217551888,-1.305219152
-0.524629029,-100
-3.593946476,-3.693190356
0.645360498,-100
-2.846015795,-100
-3.366904246,-100
-1.434711043,-6.247273197
-7.944822565,-100
-7.486698388,-100
-6.95428909,-100
-4.061637879,-100
-0.590603376,-100
-5.218191791,-100
4.156133445,-100
4.05710473,-100
3.006237352,-100
2.572558887,-100
2.783493362,-100
-0.588680685,-100
4.336145318,-100
0.721183944,-100
4.587425685,-100
4.225284254,-100
4.968200064,-100
4.695122281,-100
4.864343903,-100
4.487494021,-100
4.278156163,-100
3.276939594,-100
2.964931119,-100
3.943855938,-100
4.551711059,-1.400702084
4.193363901,-1.311767893
1.466866239,5.295617914
1.047345431,-100
0.21868183,-100
0.462388836,-100
-2.502825167,-100
-1.727454819,-100
1.158750535,-100
3.556583825,-7.899312865
3.053404537,-100
0.067649502,-6.798594891
3.042668206,-7.821225412
2.443260349,-8.197335981
-0.535937195,-100
2.215411215,3.441993021
2.253332069,4.516560374
2.822685808,-100
2.032821703,-100
-0.122639901,-100
3.294913007,-100
4.490701746,-100
4.691763091,-100
4.539549406,-100
3.060572495,-100
0.299136268,-100
0.723542703,-100
0.127243032,-100
1.326017569,-100
-0.561854406,-100
2.963348786,3.031443815
2.408002675,3.970177252
3.701066044,-100
4.016683056,-100
3.379887063,-100
1.742457517,-100
1.784538648,-100
2.002138565,-100
-3.930953288,-100
-5.042268686,-100
0.894335526,-100
0.349366,-100
4.814367782,-100
4.413236565,-100
4.729411004,-100
3.980191505,-100
4.790291587,-100
2.222305618,-100
4.638789044,-0.559562274
4.546964353,-0.009291773
3.890299616,1.04843225
4.454824085,-0.379007621
4.148714128,0.569724722
4.195948293,-0.169503493
3.445830291,2.54803401
3.821668084,0.865002487
4.002840817,-100
4.592305844,-100
4.486189251,-100
4.081645814,-100
3.324144706,-100
1.776984251,-100
3.40411095,-100
2.600713613,-7.963124455
4.365627898,-5.11604755
4.193277799,-7.852875916
3.936799378,-7.718039546
3.588041037,-7.524367809
1.982659917,-7.569117558
1.498081843,7.644542477
0.206534728,-100
0.463859089,-100
0.413321586,-100
-4.041645313,-100
0.946684022,-100
-1.400223048,-100
4.204531226,-0.79443098
4.039733318,-0.508429414
3.787553525,-0.278072494
4.093674453,0.10783294
4.155903101,0.928964687
4.031103863,0.382823806
2.300178751,-100
3.530502086,-100
3.827270446,-100
4.22799703,-100
4.054589501,-100
4.179525222,-100
3.951286766,-100
3.432855705,-100
3.905420251,-100
1.600420976,9.960734539
2.68041602,-100
1.405203228,-100
1.530104859,-100
0.29325373,-100
2.763717603,-100
0.114118934,-100
-0.502405562,-100
1.929002971,-100
0.843471309,-100
0.571780689,-100
1.087839333,-100
0.722581682,-100
1.128616755,-100
-6.139790884,-100
-6.741274501,-100
-6.77487026,-3.896259675
-5.707636187,-100
-7.59128432,-100
-7.231282523,-100
-7.314795929,-2.342937536
-7.619309265,-100
-5.921653523,-100
-7.681559431,-100
-8.252318584,-100
-5.611360822,-100
-8.239845567,-100
-8.387826843,-100
-8.470406549,-100
-8.35387363,-100
-7.171314039,-100
-8.302642986,-100
-8.426836483,-100
-8.345100204,-100
3.142790618,-1.129083587
-1.699669506,-2.569566764
-1.98074555,-100
-5.636107735,-100
-7.212093046,-100
-0.357607446,-1.859347526
-6.366925723,-100
-6.598626414,-100
-5.87091453,-100
-5.623302873,-100
-5.294939729,-100
-5.773348656,-100
-5.618883128,-100
-6.169179657,-100
-6.193602401,-100
3.297228351,-100
1.188565418,-100
1.392075763,5.065690971
4.075579114,1.988798361
4.123056293,0.931559732
1.277062073,8.942296413
1.222661391,-100
1.761307639,5.339090405
0.838560898,-100
0.622878418,-100
0.316240582,-100
-1.634102913,-100
-1.29540776,-100
-1.208134325,-100
2.922368242,1.885793632
-5.583650229,-100
-4.205660016,-100
-3.262216037,-100
-4.557736502,-100
-5.450178516,-100
-6.216666338,-100
-4.986298389,-100
-7.780422998,-100
-0.731627022,-7.123072432
0.091601085,-100
-1.763579904,-100
-2.217820616,-100
-3.857439741,-100
-2.190749228,-100
-2.07739769,-6.379562221
4.014513381,-1.040381969
-1.218472886,-100
1.695134274,-1.659154027
-4.147731721,-100
-1.847491097,-100
-3.686349707,-100
-1.349711372,-6.248717216
-3.793845226,-100
-8.084046446,-100
-7.936972671,-100
1.911607292,-100
-8.148582047,-100
-8.319915379,-100
-3.97770825,-100
1.221003764,-100
-0.438317049,-100
3.490379736,-7.345931764
2.872711055,-100
4.504942301,-100
3.7398755,-100
2.520658315,-7.484928505
1.965037065,-7.605532364
2.862667725,-100
0.785948849,-100
3.336725366,-100
4.323226458,-100
4.738797512,-100
3.986451714,-100
3.890622631,-100
4.900762592,-100
4.291160586,-100
4.510421307,-100
4.615434459,-0.325320303
4.265708274,-100
4.593678446,-100
2.140166998,-100
2.071078888,3.511840624
-2.055717491,-100
0.252535102,-100
-1.419947837,-100
2.6446945,-100
2.646429874,-6.975380666
3.027902764,-8.033606187
2.602293059,-6.608962767
-1.165582689,-5.786160747
2.678233852,-7.982010369
-2.134449211,-100
3.111238539,1.144756264
2.726525853,2.545839922
1.614156417,-0.998415987
1.850594376,-100
-0.547856697,-100
1.260139469,-100
2.765386397,-100
3.250821181,-100
2.311408768,-7.699059411
3.180945468,-8.228534632
4.101102676,-7.699025276
4.077724246,-100
4.160735534,-100
4.46151836,-100
3.077111801,-100
0.594865629,-100
0.531015794,-100
0.444800298,-100
-4.223839053,-100
0.309677846,-100
0.90327643,-100
-0.814886299,-100
4.251806573,0.446649705
3.588952156,0.751406178
2.99207665,0.449356876
3.687134272,-100
3.737989852,-100
1.340791944,-100
1.023103225,-100
-1.080015889,-100
-7.365161664,-100
1.550119518,-100
4.689883042,-100
4.813514454,-100
3.842109304,-100
4.530370198,-100
4.670364028,-100
1.526220162,-100
4.300379698,0.14685686
4.251514397,0.315825137
4.555546037,-0.202295377
4.428604322,-100
4.496600612,-100
3.905075754,-100
3.875961643,-100
2.915728796,-100
4.299567389,-3.796184555
3.621796206,-7.879140391
2.763387326,-7.424643885
3.24050701,2.823223893
2.661870584,3.772428963
-0.352848789,-100
0.363918457,-100
1.191123395,-100
1.989792772,-100
4.411643023,-0.582631735
4.36678702,-0.082721474
4.05307753,-0.271195828
3.616640376,-0.569424916
3.822041428,-0.244295675
4.247150978,0.319898539
3.702088839,-0.039647451
3.103730233,-0.357550392
3.780419595,0.295642696
2.154091094,-0.47957339